GenTrk,Efficiency,Gen3L,RecoTrk,RecoReal,Tracklet,RealTime,CPUTime
2,1.000,1.230,1.230,1.230,7.890,0.001832,0.001800
3,1.000,1.940,1.940,1.940,17.630,0.002943,0.002900
4,1.000,2.670,2.670,2.670,32.440,0.007045,0.006900
5,1.000,3.370,3.380,3.370,49.390,0.013081,0.012700
6,1.000,3.810,3.810,3.810,68.050,0.025003,0.024600
7,1.000,4.450,4.460,4.450,92.560,0.032092,0.031500
8,1.000,5.280,5.290,5.280,124.720,0.048437,0.047500
9,1.000,5.720,5.800,5.720,154.360,0.071991,0.070500
10,1.000,6.210,6.260,6.210,189.500,0.084787,0.089400
