GenTrk,Efficiency,Gen3L,RecoTrk,RecoReal,Tracklet,RealTime,CPUTime, errCPUTime
2,0.783,1.627,1.787,1.273,7.927,0.001375,0.001000,0.000308,0.029892
3,0.758,2.480,3.010,1.880,17.497,0.002421,0.002400,0.000251,0.022690
4,0.764,3.323,4.430,2.540,31.313,0.005245,0.005167,0.000308,0.019562
5,0.784,4.203,6.170,3.293,50.380,0.010266,0.009933,0.000389,0.016936
6,0.771,4.847,7.203,3.737,67.100,0.015379,0.015033,0.000494,0.016925
7,0.757,5.880,10.363,4.453,95.777,0.023116,0.025433,0.000675,0.014759
8,0.786,6.547,11.460,5.143,122.247,0.042609,0.041267,0.001362,0.013638
9,0.778,7.483,15.090,5.820,157.190,0.052184,0.050733,0.001165,0.013432
10,0.764,8.283,19.200,6.330,191.923,0.067814,0.068900,0.001708,0.012119
