GenTrk, gentr3L, eff_real, err_eff, CPUTime, errCPUTime 
2,1.690,0.976,0.038500,0.001452,0.040831
3,2.410,0.813,0.064900,0.003180,0.049763
4,3.280,0.314,0.068100,0.001454,0.037833
5,4.120,0.056,0.081800,0.001533,0.016884
6,5.110,0.008,0.095300,0.001159,0.006171
7,6.010,0.000,0.108600,0.001457,0.000000
8,6.730,0.000,0.117200,0.001609,0.000000
9,7.580,0.000,0.136400,0.002232,0.000000
10,8.320,0.000,0.146900,0.002250,0.000000
